Cidade;Ano;Mês;HOMICÍDIO DOLOSO (2);Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;HOMICÍDIO CULPOSO OUTROS;TENTATIVA DE HOMICÍDIO;LESÃO CORPORAL SEGUIDA DE MORTE;LESÃO CORPORAL DOLOSA;LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;LESÃO CORPORAL CULPOSA - OUTRAS;LATROCÍNIO;Nº DE VÍTIMAS EM LATROCÍNIO;TOTAL DE ESTUPRO (4);ESTUPRO;ESTUPRO DE VULNERÁVEL;TOTAL DE ROUBO - OUTROS (1);ROUBO - OUTROS;ROUBO DE VEÍCULO;ROUBO A BANCO;ROUBO DE CARGA;FURTO - OUTROS;FURTO DE VEÍCULO
São Vicente;2023;Junho;1;1;0;0;3;0;4;0;59;21;12;0;0;2;0;2;253;226;40;0;27;382;32
São Vicente;2023;Julho;2;2;0;0;3;0;3;0;45;23;4;0;0;4;1;3;253;230;36;0;23;335;44
São Vicente;2023;Agosto;1;1;0;0;2;0;1;0;49;33;4;1;1;13;5;8;320;307;36;0;13;436;39
São Vicente;2023;Setembro;5;5;0;0;3;0;8;0;57;31;0;0;0;11;4;7;248;237;39;0;11;410;49
São Vicente;2023;Outubro;3;3;0;0;0;0;3;0;78;22;1;0;0;4;1;3;242;235;35;0;7;426;59
São Vicente;2023;Novembro;2;2;0;0;3;0;0;0;66;25;1;0;0;5;2;3;202;196;37;0;6;346;54
São Vicente;2023;Dezembro;2;2;0;0;2;0;3;0;75;28;2;0;0;4;0;4;204;196;63;0;8;404;77
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
