"Data","cidade","homicidio.doloso","numero.de.vitimas.em.homicidio.doloso","homicidio.doloso.por.acidente.de.transito","numero.de.vitimas.em.homicidio.doloso.por.acidente.de.transito","homicidio.culposo.por.acidente.de.transito","homicidio.culposo.outros","tentativa.de.homicidio","lesao.corporal.seguida.de.morte","lesao.corporal.dolosa","lesao.corporal.culposa.por.acidente.de.transito","lesao.corporal.culposa...outras","latrocinio","numero.de.vitimas.em.latrocinio","total.de.estupro","estupro","estupro.de.vulneravel","total.de.roubo...outros","roubo...outros","roubo.de.veiculo","roubo.a.banco","roubo.de.carga","furto...outros","furto.de.veiculo"
2024-01-01,"Cubatao",2,2,0,0,3,0,1,0,25,12,1,0,0,4,1,3,43,41,9,0,2,94,15
2024-02-01,"Cubatao",1,1,0,0,1,1,2,0,20,6,4,0,0,4,1,3,35,33,7,0,2,97,8
2024-03-01,"Cubatao",0,0,0,0,2,0,2,1,44,11,2,0,0,0,0,0,31,27,11,0,4,118,10
2024-04-01,"Cubatao",0,0,0,0,2,0,1,0,30,10,2,1,1,4,1,3,30,26,14,0,4,69,10
2024-05-01,"Cubatao",0,0,0,0,3,0,0,0,33,16,0,0,0,4,3,1,33,31,16,0,2,138,7
2024-06-01,"Cubatao",1,1,0,0,2,0,2,0,32,10,0,0,0,2,0,2,34,30,20,0,4,106,12
2024-07-01,"Cubatao",0,0,0,0,2,0,1,0,20,7,2,1,1,2,1,1,30,26,17,0,4,84,7
2024-08-01,"Cubatao",2,2,0,0,1,0,2,0,28,15,2,0,0,1,0,1,38,35,15,0,3,207,15
2024-09-01,"Cubatao",0,0,0,0,3,0,3,1,36,9,0,0,0,3,0,3,23,23,7,0,0,149,14
2024-10-01,"Cubatao",0,0,0,0,1,0,3,1,31,17,2,2,2,1,0,1,26,26,11,0,0,174,9
2024-11-01,"Cubatao",1,1,0,0,2,0,0,0,32,12,0,0,0,2,1,1,42,39,20,0,3,146,14
2024-12-01,"Cubatao",3,3,0,0,1,0,2,0,41,10,2,0,0,3,2,1,40,39,17,0,1,112,20
2024-01-01,"Guaruja",4,5,0,0,1,0,2,0,80,18,19,0,0,4,1,3,242,239,4,0,3,408,19
2024-02-01,"Guaruja",0,0,0,0,3,0,3,0,60,12,20,0,0,10,3,7,143,142,3,0,1,276,25
2024-03-01,"Guaruja",2,2,0,0,1,0,3,2,87,21,22,0,0,14,2,12,190,189,6,0,1,313,11
2024-04-01,"Guaruja",4,7,0,0,1,0,1,0,74,17,11,0,0,7,2,5,166,165,5,0,1,281,13
2024-05-01,"Guaruja",4,5,0,0,0,1,2,0,58,32,0,0,0,9,2,7,138,137,4,0,1,280,7
2024-06-01,"Guaruja",4,4,0,0,3,0,1,0,83,30,4,0,0,2,0,2,151,147,3,0,4,343,11
2024-07-01,"Guaruja",0,0,0,0,1,0,4,0,50,24,1,0,0,7,2,5,105,101,2,0,4,300,11
2024-08-01,"Guaruja",1,1,0,0,4,0,2,0,64,52,2,0,0,12,1,11,130,129,2,0,1,339,16
2024-09-01,"Guaruja",3,3,0,0,1,0,4,0,58,33,1,0,0,6,0,6,108,106,7,0,2,327,22
2024-10-01,"Guaruja",3,3,0,0,2,1,3,0,86,29,2,0,0,8,2,6,127,126,7,0,1,245,17
2024-11-01,"Guaruja",2,2,0,0,4,0,5,0,76,46,2,0,0,8,3,5,158,156,5,0,2,297,23
2024-12-01,"Guaruja",2,2,0,0,2,0,1,0,94,36,3,0,0,8,2,6,185,184,7,0,1,293,26
2024-01-01,"Praia Grande",1,1,0,0,4,0,2,0,152,61,7,0,0,6,2,4,242,229,6,0,13,563,62
2024-02-01,"Praia Grande",1,1,0,0,2,1,2,0,102,34,7,0,0,7,1,6,207,189,4,0,18,474,57
2024-03-01,"Praia Grande",0,0,0,0,4,0,6,0,116,39,9,0,0,14,4,10,203,194,11,0,9,537,53
2024-04-01,"Praia Grande",0,0,0,0,3,1,4,0,142,42,6,0,0,7,1,6,225,212,16,0,13,520,62
2024-05-01,"Praia Grande",1,1,0,0,6,0,4,0,107,53,1,0,0,11,1,10,236,217,14,0,19,556,93
2024-06-01,"Praia Grande",1,1,0,0,2,0,2,0,104,50,0,0,0,8,0,8,206,195,8,0,11,507,70
2024-07-01,"Praia Grande",2,2,0,0,6,0,1,0,94,51,3,0,0,11,5,6,205,202,6,0,3,539,52
2024-08-01,"Praia Grande",5,6,0,0,2,0,2,0,96,57,1,0,0,13,2,11,205,197,7,0,8,656,73
2024-09-01,"Praia Grande",1,1,0,0,1,0,1,0,115,48,1,0,0,7,1,6,234,228,14,0,6,621,92
2024-10-01,"Praia Grande",0,0,0,0,3,0,3,0,112,46,3,0,0,14,2,12,221,213,17,0,8,681,85
